District,District Name,Nom de Circonscription,Type of results*,Type de résultats**,Surname - Nom de famille,Middle name(s) - Autre(s) prénom(s),Given name - Prénom,party,Appartenance politique,Votes obtained - Votes obtenus,% Votes obtained - Votes obtenus %,Rejected ballots - Bulletins rejetés***,Total number of ballots cast - Nombre total de votes déposés
10005,Long Range Mountains,Long Range Mountains,validated,validés,Eisses,,Josh,Conservative,Conservateur,10873,28.3,576,39002
10005,Long Range Mountains,Long Range Mountains,validated,validés,Hutchings,,Gudie,Liberal,Libéral,18199,47.4,576,39002
10005,Long Range Mountains,Long Range Mountains,validated,validés,Knill,,Lucas,Green Party,Parti Vert,1334,3.5,576,39002
10005,Long Range Mountains,Long Range Mountains,validated,validés,Miles,,Robert,VCP,CAC,411,1.1,576,39002
10005,Long Range Mountains,Long Range Mountains,validated,validés,Pike,,Holly,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,7609,19.8,576,39002
10006,St. John's East,St. John's-Est,preliminary,préliminaires,Harris,,Jack,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,21164,46.9,0,45130
10006,St. John's East,St. John's-Est,preliminary,préliminaires,Peters,,David,Green Party,Parti Vert,818,1.8,0,45130
10006,St. John's East,St. John's-Est,preliminary,préliminaires,Wall,,Joedy,Conservative,Conservateur,8187,18.1,0,45130
10006,St. John's East,St. John's-Est,preliminary,préliminaires,Whalen,,Nick,Liberal,Libéral,14961,33.2,0,45130
10006,St. John's East,St. John's-Est,validated,validés,Harris,,Jack,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,21148,46.9,528,45600
10006,St. John's East,St. John's-Est,validated,validés,Peters,,David,Green Party,Parti Vert,821,1.8,528,45600
10006,St. John's East,St. John's-Est,validated,validés,Wall,,Joedy,Conservative,Conservateur,8141,18.1,528,45600
10006,St. John's East,St. John's-Est,validated,validés,Whalen,,Nick,Liberal,Libéral,14962,33.2,528,45600
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,preliminary,préliminaires,Anonsen,,Anne Marie,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,10703,27.1,0,39514
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,preliminary,préliminaires,Hayward,,Alexandra,Green Party,Parti Vert,717,1.8,0,39514
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,preliminary,préliminaires,Jones,,David,Christian Heritage Party,Parti de l'Héritage Chrétien,137,.3,0,39514
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,preliminary,préliminaires,Martin,,Terry,Conservative,Conservateur,7537,19.1,0,39514
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,preliminary,préliminaires,O'Regan,,Seamus,Liberal,Libéral,20094,50.9,0,39514
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,preliminary,préliminaires,Ruckpaul,,Benjamin,People's Party,Parti populaire,326,.8,0,39514
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,validated,validés,Anonsen,,Anne Marie,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,10890,26.8,592,41258
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,validated,validés,Hayward,,Alexandra,Green Party,Parti Vert,740,1.8,592,41258
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,validated,validés,Jones,,David,Christian Heritage Party,Parti de l'Héritage Chrétien,141,.3,592,41258
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,validated,validés,Martin,,Terry,Conservative,Conservateur,7767,19.1,592,41258
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,validated,validés,O'Regan,,Seamus,Liberal,Libéral,20793,51.1,592,41258
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,validated,validés,Ruckpaul,,Benjamin,People's Party,Parti populaire,335,.8,592,41258
11001,Cardigan,Cardigan,preliminary,préliminaires,Beaton,,Glen,Green Party,Parti Vert,3006,13.9,0,21697
11001,Cardigan,Cardigan,preliminary,préliminaires,MacAulay,,Lawrence,Liberal,Libéral,10687,49.3,0,21697
11001,Cardigan,Cardigan,preliminary,préliminaires,Phelan,,Wayne,Conservative,Conservateur,6303,29.1,0,21697
11001,Cardigan,Cardigan,preliminary,préliminaires,Squires,,Christene,Christian Heritage Party,Parti de l'Héritage Chrétien,233,1.1,0,21697
11001,Cardigan,Cardigan,preliminary,préliminaires,Thiele,,Lynne,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,1468,6.8,0,21697
11001,Cardigan,Cardigan,validated,validés,Beaton,,Glen,Green Party,Parti Vert,3068,13.8,232,22399
11001,Cardigan,Cardigan,validated,validés,MacAulay,,Lawrence,Liberal,Libéral,10939,49.3,232,22399
11001,Cardigan,Cardigan,validated,validés,Phelan,,Wayne,Conservative,Conservateur,6439,29,232,22399
11001,Cardigan,Cardigan,validated,validés,Squires,,Christene,Christian Heritage Party,Parti de l'Héritage Chrétien,240,1.1,232,22399
11001,Cardigan,Cardigan,validated,validés,Thiele,,Lynne,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,1481,6.7,232,22399
11002,Charlottetown,Charlottetown,preliminary,préliminaires,Byrne,,Joe,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,2193,11.4,0,19252
11002,Charlottetown,Charlottetown,preliminary,préliminaires,Campbell,,Robert A.,Conservative,Conservateur,3924,20.4,0,19252
11002,Charlottetown,Charlottetown,preliminary,préliminaires,Casey,,Sean,Liberal,Libéral,8509,44.2,0,19252
11002,Charlottetown,Charlottetown,preliminary,préliminaires,Lanthier,,Darcie,Green Party,Parti Vert,4458,23.2,0,19252
11002,Charlottetown,Charlottetown,preliminary,préliminaires,MacLeod,,Fred,Christian Heritage Party,Parti de l'Héritage Chrétien,168,.9,0,19252
11002,Charlottetown,Charlottetown,validated,validés,Byrne,,Joe,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,2238,11.2,274,20184
11002,Charlottetown,Charlottetown,validated,validés,Campbell,,Robert A.,Conservative,Conservateur,4040,20.3,274,20184
11002,Charlottetown,Charlottetown,validated,validés,Casey,,Sean,Liberal,Libéral,8812,44.3,274,20184
11002,Charlottetown,Charlottetown,validated,validés,Lanthier,,Darcie,Green Party,Parti Vert,4648,23.3,274,20184
11002,Charlottetown,Charlottetown,validated,validés,MacLeod,,Fred,Christian Heritage Party,Parti de l'Héritage Chrétien,172,.9,274,20184
11003,Egmont,Egmont,preliminary,préliminaires,Clark,,Alex,Green Party,Parti Vert,3747,19.7,0,19058
11003,Egmont,Egmont,preliminary,préliminaires,Dunn,,Sharon,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,1182,6.2,0,19058
11003,Egmont,Egmont,preliminary,préliminaires,McLellan,,Logan,Conservative,Conservateur,6616,34.7,0,19058
